Nome do Paiciente,Nome da Mãe,Data de Nascimento,CPF,CNS,CEP,Endereço,Número,Complemento,Bairro,Cidade,Estado
Eva Bittencourt Branco,Bia de Oliveira Bittencourt,17/09/2007,101.615.154-36,983509543640837,44028-605,Largo Eric,7033,Bc. 8 Ap. 40,Assunção Torres,Larissa do Norte,RR
Mel Vale Lourenço,Maria Galindo Lozano,09/07/1998,790.285.508-10,968650135206341,29591-890,R. Renato Velasques,9122,Apto 65,Toledo Barros,São Christopher do Norte,MS
Viviane Mendonça Velasques,Daiane Rios Urias,01/03/1981,387.295.594-21,903930344201833,80529-060,Rua Ávila,5,Bloco B,Rocha Salgado,Padrão do Sul,PB
Emília Rodrigues Galindo,Kelly Urias Medina,04/01/2016,561.283.900-64,736484753243925,66679-467,Av. Laura,887,29º Andar,Mendonça Mendes,Alícia do Leste,RS
Hernani Caldeira Rodrigues,Carol Zamana Vale,28/08/2008,497.020.721-66,765712740339499,14317-709,Largo Anderson,6921,Fundos,Zambrano Salas,São James d'Oeste,PR
Daiana Godói Franco,Ayla Cruz Valentin,11/08/1986,585.149.064-02,902746256540155,59016-833,Largo Eric Leal,97,Bc. 68 Ap. 09,Vale Sales,São Valentin do Norte,MA
César Mendonça Ferraz,Patrícia Barreto Batista,19/02/1984,783.379.431-73,974035895934111,69939-736,R. Wilson,9,002º Andar,Pontes Espinoza,Leandro d'Oeste,MA
Lavínia Molina Vieira,Marisa Rangel Ferraz,03/12/2001,389.280.837-61,975910341707008,93262-601,Travessa Marcelo,225,Apto 703,Corona Torres,Neves do Norte,PB
Amélia de Aguiar Dias,Mari Zaragoça Ramires,13/05/2015,079.006.361-10,844477506824468,70560-924,Av. Queirós,783,71º Andar,Paes Zaragoça,São Lorenzo,CE
Everton Toledo Pontes,Denise Carvalho Correia,18/08/2008,833.515.634-42,845725471283737,47793-313,Largo Leon,58,Bloco A,Fidalgo Zambrano,Aranda do Sul,PB
Afonso Lira Vasques,Gabi Toledo Solano,03/03/1976,734.228.362-25,950733593636112,25983-930,Rua César,480,Bc. 63 Ap. 41,Neves Brito,Porto Rodolfo do Leste,SP
Cristiano Fontes Vieira,Cristina Rangel Fontes,31/03/1973,164.552.309-81,859823623944363,43085-179,Largo Vega,9618,Apto 627,Santos Rico,Santa Cynthia,RN
Thiago Souza Teles,Olga Lourenço Queirós,11/12/1995,097.662.161-42,983789128410207,00789-096,Avenida Ester Vasques,68237,Apto 984,Gonçalves Flores,Carmona do Leste,MG
Manuela Abreu Guerra,Regiane Delatorre Garcia,08/01/2021,905.235.659-92,710592670570094,43541-013,Rua Daniela Serrano,60,Bloco A,Oliveira Rocha,São Cristóvão,SE
Elis Reis Molina,Camila Zambrano Vieira,22/08/1980,276.096.748-42,786750436351280,49029-355,Av. Corona,7,Anexo,Neves Ferminiano,Vila Francisco do Norte,GO
Benedito Rocha Carmona,Melinda Ortiz Grego,15/02/2020,934.698.292-68,914077571376677,39235-075,Largo Bezerra,66912,Apto 27,de Souza Roque,Santa Roberto do Norte,PA
Téo Cordeiro Pontes,Gisela Perez Casanova,12/03/2018,202.092.311-49,737727619328405,52211-102,Av. Gustavo Soto,6,Bc. 4 Ap. 57,Fontes Leon,São Anderson do Sul,ES
Poliana Velasques Jimenes,Ornela Delatorre Santana,03/03/1979,769.825.783-56,757176464980561,09077-963,Travessa Heitor Benites,790,Bc. 42 Ap. 68,Soares Carvalho,Fontes do Sul,MA
Helena Santos Amaral,Luna Sales Zamana,13/01/1991,663.068.267-00,984898932277908,96495-985,Avenida Luísa Abreu,44,92º Andar,Carrara Saito,Santa Lidiane,SC
Paola Flores Alcantara,Carolina Faro Galvão,09/12/1987,187.470.001-04,850742800951339,55772-094,Avenida Guilherme,369,Bloco B,Amaral Abreu,Balestero do Sul,DF
Paulina Pontes Molina,Nathalia da Cruz Prado,08/06/2021,386.936.973-66,978216166410729,79724-686,Travessa Anderson Saito,379,Fundos,Santos da Silva,Rebeca do Leste,AM
Hortência Rico Batista,Camila Sanches Carvalho,23/04/1992,207.346.026-77,778588811319397,32091-150,Travessa Leo,86318,Apto 4015,Padilha Caldeira,Lívia d'Oeste,TO
Elisa Aranda Leon,Verônica Vila Brito,05/10/1978,014.073.888-60,939372085079962,32939-001,Avenida Matias,2487,Bc. 7 Ap. 41,Beltrão da Cruz,Porto Samuel d'Oeste,GO
Andres Ferreira Espinoza,Dayane Valdez Quintana,16/04/1994,563.215.070-40,958088583346711,22603-423,Avenida Paes,589,Apto 69,Lira Galvão,Vila Wesley do Norte,SP
Natália Valente Prado,Júlia Meireles Soares,10/11/2018,099.076.726-45,901198629430227,52914-418,Largo Franciele,65,3º Andar,Paz Maldonado,Renato do Leste,BA
Nathalia Solano Leal,Larissa Zambrano de Oliveira,19/12/2020,753.635.334-05,758015701424673,23901-430,Avenida Moisés,31,Bloco B,Verdugo de Arruda,Santa Diego,AM
Wesley D'ávila Fonseca,Sophie Cortês Uchoa,01/11/2019,075.445.108-91,817442972336986,07857-156,Travessa Micaela Padilha,28,2º Andar,Zambrano Beltrão,São Teobaldo do Norte,MG
Ohana Neves Estrada,Louise das Neves Ortiz,06/11/1972,525.903.276-41,926566002328021,73620-718,Av. Saulo Teles,9546,Apto 950,Gusmão Prado,Mascarenhas d'Oeste,RN
Guilherme de Oliveira Grego,Andréia Azevedo Feliciano,01/09/1981,422.975.767-06,880973255187118,12905-639,Largo Fernanda,64759,864º Andar,de Oliveira Batista,Deverso d'Oeste,PI
Cíntia Rosa Godói,Lidiane Fernandes Galhardo,19/05/2006,497.889.886-28,953067953742304,45495-327,Av. Luana Caldeira,135,Apto 68,Lutero Ramos,Porto Verônica,PI
Danilo Fontes Padrão,Helena Dominato Mascarenhas,03/12/2019,513.912.720-21,773409314848791,29881-458,Travessa Lia,3381,95º Andar,Balestero Teles,São Eduardo,MA
Leandro Valência Dominato,Iasmin Vieira Santacruz,13/12/1999,085.568.729-05,912361155291911,30950-854,Rua Joaquin,80,Apto 9,Assunção Pedrosa,Santa Natan do Sul,TO
Lidiane Toledo Franco,Tábata Fontes Brito,25/05/2010,335.920.182-56,765202082343615,85102-246,Largo Pena,74,Bloco C,Solano Maldonado,Antonella do Leste,PE
Catarina Chaves Urias,Mariah Serna Santana,21/11/1996,748.348.524-82,768987773818040,94983-457,Rua Santacruz,93,Anexo,Branco Azevedo,Lira do Sul,AP
Marcos Fernandes Benez,Liz Alcantara Vega,21/03/1974,927.044.595-09,719784745032446,62609-285,Avenida Heitor Dias,4,Bloco A,Rangel Zambrano,Vila Eric,TO
Tiago Rocha Ferreira,Mari da Silva Paz,09/01/2014,537.457.343-86,742525489984649,62730-231,R. Maiara Montenegro,538,Apto 5,Guerra Quintana,Santa Camila,BA
Benedito Maia Cordeiro,Agustina Franco Batista,12/05/2001,456.279.875-02,947085775765994,45877-687,Travessa Rodolfo,15,Apto 651,Santana Matos,Alexa do Norte,RN
Ítalo Carvalho Duarte,Isadora Ferreira Carrara,22/06/2021,652.092.445-80,829001312253575,29424-124,Largo Prado,9908,5º Andar,Bittencourt Brito,Mirela do Sul,TO
Stephanie Espinoza Serrano,Emília Arruda Ramires,04/11/1983,291.314.708-90,749465283996100,53986-355,Travessa Irene Lourenço,23435,4º Andar,Santos Meireles,São Pietra do Leste,RR
Sarah Matias Azevedo,Simone Dias Toledo,28/11/1979,894.859.438-90,759974687414334,55905-457,Avenida Santiago,2511,Anexo,Medina Jimenes,Mascarenhas do Norte,SC
Willian Corona Cruz,Nicole Quintana Pacheco,14/04/2008,002.229.060-57,914226534147144,60732-909,R. Kamila,44,F,Faro Balestero,Ohana do Leste,PA
Artur da Rosa Alves,Vitória Marés Matias,07/06/2013,850.278.417-01,762610124212203,57296-721,Largo Vasques,7,F,Zaragoça Santacruz,Porto Marisa do Norte,SP
Bernardo Brito Cruz,Larissa Soares Bonilha,13/12/2002,225.306.230-82,818784889494402,66308-669,R. Lidiane Burgos,360,Apto 9792,Camacho Perez,Lívia do Norte,TO
Tiago Amaral Verdara,Júlia Fonseca Carmona,29/08/1988,913.743.191-98,719970668369091,32420-645,R. Ingrid,5737,Apto 1585,Serna Dominato,Santa Tiago do Sul,AM
Janaina Benites Cortês,Manuela Queirós Carrara,23/12/2014,735.519.194-29,905983819529543,34935-525,Travessa Daniele,86,Apto 3,Barreto Caldeira,Luis d'Oeste,BA
Carla Quintana Caldeira,Miranda Beltrão Carvalho,06/12/1982,124.617.490-19,942246576709227,31061-232,R. Carvalho,411,Apto 49,Flores Maldonado,Santa Marcos d'Oeste,RO
Sandro Sandoval Colaço,Daniele Gomes Rezende,04/02/1998,162.168.894-19,743912310490466,80603-620,R. Colaço,848,6º Andar,Urias Chaves,Garcia do Sul,PE
Ivana Fidalgo Medina,Gisela Quintana Zaragoça,07/10/1994,206.350.357-58,722595990966548,16682-844,Av. Caio,70379,Apto 6275,Casanova Prado,Roberto do Leste,PE
Antonella Estrada Caldeira,Heloise Solano Chaves,01/06/1977,118.813.824-35,879406556182305,91361-037,Avenida Tamoio,6845,Bloco A,Rezende Gomes,Kamila d'Oeste,SE
Ariane de Aguiar Assunção,Maria Serrano Reis,18/06/1995,318.170.051-70,831544928834441,74043-402,Travessa Fernanda Garcia,13063,Apto 464,Pedrosa Santiago,Isadora do Norte,SP
Tainara Corona Paz,Naiara Lovato Prado,07/10/1977,470.884.904-47,900368560332442,47157-545,Av. Evandro,6892,Apto 22,das Dores Ramires,Paz do Norte,RN
Luciano Ávila Feliciano,Suelen Marques Tamoio,10/12/1978,384.558.852-70,767801441519864,36195-846,Rua Marcos,330,75º Andar,Guerra Toledo,Colaço d'Oeste,PE
Bárbara Paes Meireles,Sara Serra Dias,28/02/1972,302.760.425-22,940990246578880,20989-549,Avenida Alessandra,844,26º Andar,Prado Leal,Porto Sebastião d'Oeste,RR
William Padrão Saito,Madalena Galindo Ortiz,09/11/1974,445.818.614-03,739438961197890,16118-294,Largo da Silva,924,6º Andar,Saito Solano,Marés do Leste,ES
Walter Benites Santana,Andressa Santacruz Brito,10/04/1970,313.226.374-58,772840756983511,58143-230,Rua Ian,4,F,Molina Campos,Porto Bruna do Leste,PA
Nathalia Paz Dias,Rebeca Furtado Balestero,07/12/2005,865.213.986-52,995711709131346,07518-418,Largo Reis,169,Apto 3,Jimenes Martines,Feliciano do Norte,AC
Leo Vieira Jimenes,Luiza Zamana Campos,26/02/1986,207.388.307-98,744468775358517,99391-356,R. Natal,34360,Apto 2373,Ramos Ortiz,Melina do Norte,SE
Suelen Gil Tamoio,Pietra Sepúlveda Grego,15/04/1975,702.587.301-29,989878312341066,29694-911,R. Bia Estrada,6749,Apto 118,Salgado Saraiva,São Mateus,MG
Mari Vega Cortês,Hortência Pacheco Padrão,20/04/2001,251.281.556-09,922419759297412,98275-621,R. Eric Jimenes,644,5º Andar,Vieira Fontes,Santa Walter,AC
Júlio Furtado da Cruz,Adriele Flores Corona,25/01/1973,078.147.174-50,735541547778876,35090-930,Avenida Allan,57383,Bloco C,Santiago Torres,Vila Ziraldo do Norte,PR
Sophia Verdara Urias,Miriam Delgado Cervantes,18/02/1977,194.997.603-34,768833660376236,12129-931,Avenida Théo Marques,47475,Fundos,Lourenço Ferraz,Vila Tâmara do Leste,AC
Josué Reis Abreu,Karen Sanches Burgos,25/01/1982,494.358.548-50,917837558802541,48917-326,Av. Dirce,24,Bc. 71 Ap. 15,Mascarenhas Matias,Carvalho do Norte,AC
Gisele de Arruda Faro,Noemi Barros Serrano,30/10/1984,942.961.747-89,973267682925931,03540-818,Travessa Jennifer Verdugo,8574,Bloco A,Marin Cervantes,São Lucas,MT
Ricardo Soares Serrano,Ariana Serna Saraiva,29/05/2000,236.465.858-62,716848655816578,82852-388,Av. Heloise Mascarenhas,4,Bc. 46 Ap. 35,Ramires Fidalgo,Marisa do Sul,CE
Joaquim Medina Carvalho,Malu Bonilha Dias,05/05/1977,897.720.800-95,745632038433703,85214-880,Rua Julieta,6194,Apto 7353,Toledo Ferminiano,São Daniel do Sul,SE
Inácio Maia Solano,Hortência Roque Valente,12/10/2014,742.319.607-04,739316251546287,05325-144,R. Agatha,491,Bloco C,Barros Feliciano,São Simão do Sul,SC
Samanta Barreto Benez,Valéria Arruda Dominato,13/03/1996,933.110.635-11,784428534459721,43950-434,Avenida Noa,3,Anexo,Zambrano Fontes,Vila Aaron do Norte,PE
Alessandro Camacho Carvalho,Laura Salazar Carvalho,02/02/2012,726.080.017-85,825470545120953,41348-562,Largo Gil,4716,Bc. 7 Ap. 71,Souza Ávila,Porto Laura,CE
Isabel Sandoval Fontes,Hortência Verdara Cortês,02/11/1973,275.443.407-08,851210443559728,56082-867,Travessa Tâmara Lira,3,Apto 4,Torres Grego,Vila Raphael,MS
Maurício das Neves Santos,Maria Carmona Maia,27/01/2005,771.832.313-72,947255664958857,69171-193,Avenida Sandoval,95,F,Delvalle Uchoa,Franco do Sul,PA
Clarice Lourenço Leon,Natália Verdara Ferreira,28/09/1978,104.622.195-77,719541877295516,45067-342,Rua Tomás Dominato,1093,1º Andar,Burgos Mendes,Vila Kevin,PI
Hugo Dominato Santos,Thalissa Santana Sanches,17/02/1984,494.380.100-50,746294203931364,45220-194,Rua Sebastião Neves,444,Anexo,Marques Lourenço,São Cristiano,RO
Caio D'ávila Leal,Flávia Carmona Benites,13/07/1974,216.385.019-63,757763182262566,54791-230,Av. Assunção,72,Apto 548,Vasques Mendonça,Luana do Norte,SE
Jonas Gil Pontes,Antonieta Batista Carmona,20/03/1995,947.250.366-76,734106914170256,61556-630,Largo Mari Serra,377,Bloco B,Reis Valente,Luzia do Sul,AL
Thalita Saito Saito,Sophia de Oliveira Queirós,29/03/1995,419.460.396-67,756920428633937,57417-596,Avenida Mário,9,Apto 067,Marinho Escobar,Porto Nelson do Leste,RR
Diogo Serra Esteves,Lorena Deverso Carrara,04/10/1977,452.948.566-89,897022051101292,57822-202,Rua Deverso,27342,46º Andar,Teles Aragão,Dominato do Norte,MG
Abgail Gomes Mendes,Sophia Valência Fidalgo,17/09/1993,923.547.269-53,722632572632926,92149-807,Avenida Kauan,210,Fundos,Lira Serrano,Ortega do Norte,SC
Téo Leal Souza,Emilly Alves Casanova,04/06/1978,554.204.216-31,803099476879179,96449-281,R. Jefferson,36520,Apto 7,Campos Padilha,Maldonado do Sul,SP
Mel Benez Marinho,Eva Mendes Lira,20/06/2015,531.851.259-32,957444594900299,32878-920,Rua Santiago Valente,7394,Anexo,Santiago Mascarenhas,Miguel do Norte,SC
Paulina Rodrigues Dominato,Juliana Sandoval Lozano,19/01/1971,079.822.869-50,926781676289083,95330-848,Av. Arthur,9,Bc. 32 Ap. 83,Deverso Esteves,das Neves do Leste,AM
Joaquim Cruz Torres,Lúcia Alcantara Benez,25/02/1979,845.303.596-20,916216848177867,22024-946,Largo Abreu,6,Bc. 1 Ap. 88,Sepúlveda Bittencourt,Santa Allan,PA
Hortência Escobar Duarte,Valéria Grego Escobar,02/03/2010,124.293.577-04,785778130562216,35904-399,R. Silvana Azevedo,4,Apto 6531,Galhardo Aguiar,Porto Aurora do Leste,ES
Samuel Roque Salgado,Eloah Vieira Medina,22/11/2020,141.537.490-28,792565926136557,92961-292,Travessa Thalita Rezende,384,Bloco A,Rico Ortega,Gil do Sul,MS
Danielle Aranda Urias,Katherine Salgado Prado,29/03/1988,033.218.486-27,914602561020292,17060-399,Rua Roberto,367,Bloco C,Tamoio Rodrigues,Santa Letícia,AL
Horácio Montenegro Espinoza,Fabiana Vasques Deverso,01/10/1998,092.339.676-46,931686603815143,24346-983,Largo Maria Santacruz,4808,Bc. 4 Ap. 17,Camacho Bonilha,Porto Anita d'Oeste,PR
Malu Soares Rico,Marina Zamana Ferreira,27/11/2006,922.740.716-24,747331189349483,28913-725,Largo Noel Rangel,420,48º Andar,Lira Padrão,Vila Luis,PI
Renato Lutero Meireles,Irene Velasques Uchoa,03/01/1992,758.002.007-69,892015128147188,64620-377,Avenida Filipe,44398,F,Batista Sandoval,Priscila d'Oeste,RS
Horácio Romero Branco,Fátima Galindo Rico,16/11/1987,161.881.480-06,979375996923717,45163-382,R. Benez,40709,Bloco A,Cortês Vega,Santa Liz,AM
Gael da Silva Rosa,Miranda Leon de Aguiar,29/02/2016,035.197.939-54,802811274902843,44532-202,Av. Valdez,885,Apto 131,Ferraz Casanova,Flores do Leste,AC
Jaqueline Colaço Salazar,Lorena Torres Ortega,17/12/2011,860.818.079-08,864064952876486,88472-027,Av. Jonas Torres,69378,963º Andar,Zamana Molina,Mia do Leste,RO
Naomi Burgos Valência,Olívia Ortiz Quintana,07/12/2003,585.215.829-19,716982793980555,97408-292,Largo Jimenes,682,Bc. 0 Ap. 02,Aragão Faria,Santa Luciana,AM
Ian Teles Romero,Diana Neves Espinoza,24/11/1970,210.409.048-23,922762481008989,97712-501,Av. Daniel,4,Bloco B,da Silva Delvalle,Leal do Norte,AM
Helena Gonçalves Estrada,Jaqueline Valentin Soares,23/05/1979,454.578.056-38,740344801010831,00870-683,Avenida Santana,5,Bc. 69 Ap. 38,Sanches Pena,Vila Analu,PE
Edilson Casanova Mendes,Nicole Gusmão Oliveira,11/07/2003,028.919.988-39,730681898094196,61236-572,Largo Domingues,54,6º Andar,Tamoio Casanova,Duarte do Leste,PR
Beatriz Colaço Santos,Aparecida Dominato Romero,19/02/2014,514.677.979-10,740759072296467,65218-701,Largo Andres,6,Bc. 31 Ap. 95,Bezerra Fernandes,Vila Ivan,CE
Manoela Serrano Perez,Luciana Cordeiro Faria,28/06/1986,273.665.038-78,894272503581002,76059-617,Travessa Serrano,7,Bc. 0 Ap. 32,Vale Saraiva,Saito do Leste,AC
Analu Benites Rangel,Luna Martines Fernandes,05/08/1975,045.031.346-80,974167545755855,26226-566,Largo Dante,57,Fundos,Madeira Maldonado,Porto Hugo,MT
Natan Vila Valdez,Sandra Pacheco Aguiar,09/12/1970,503.944.586-56,952501127438005,24436-127,Rua Quintana,6,Bc. 03 Ap. 23,de Oliveira Pacheco,Carmona do Leste,AC
Sheila de Aguiar Fontes,Valentina Padilha Sales,15/06/1975,524.086.309-16,921447656917396,91746-637,Largo Tamoio,16,Bc. 16 Ap. 12,Amaral Salgado,Bezerra do Sul,AL
Alessandra de Aguiar Tamoio,Letícia Pereira Delatorre,11/02/1986,484.999.146-75,857879433650554,52471-962,Av. Jorge,55120,6º Andar,Ramos Martines,Santa Andréa do Leste,PI
Leonardo Zamana Fonseca,Suelen Vieira Jimenes,24/03/2023,150.579.649-09,704668889623693,37898-382,R. Prado,6,Apto 098,Serrano Serna,Henrique do Leste,PI
Elis Deverso Madeira,Pâmela Toledo Rosa,05/06/2014,575.761.995-39,757178742115814,68824-387,R. Stephany,9,Bloco B,de Souza Fidalgo,Santa Walter do Leste,RN
Edilson Santos Corona,Camila Santana Ferreira,11/11/1983,242.364.347-09,742054242505949,85341-116,R. Beltrão,28699,Apto 33,Marinho Barreto,Bonilha do Leste,AM
Vinícius Godói Verdugo,Yohanna Guerra Vasques,17/08/1977,400.614.558-65,821574687541487,19151-380,Avenida Maria,5,Bloco B,de Aguiar Escobar,Vila Gael do Leste,RN
Valentina Rico Cordeiro,Mariana Neves Branco,07/01/2022,244.866.089-17,763137190737024,17025-638,Largo Madeira,2108,Bc. 2 Ap. 21,Dias Ferraz,Santa Pâmela do Leste,AP
Rogério Franco Paz,Laís Vila Salazar,25/05/1993,600.685.262-45,735654728244832,47450-943,R. Júlio,426,Bloco A,Sales Carvalho,William do Leste,PA
Danielle Vasques Ferreira,Michele Dias Solano,10/05/1975,814.922.853-58,720320046071489,60827-071,Avenida Maldonado,8500,Bc. 9 Ap. 33,Salas Zamana,Julieta d'Oeste,GO
Andréa Serra Arruda,Alma Carvalho de Aguiar,14/06/1997,727.218.161-36,738268413824419,05748-139,Rua Bittencourt,6,Anexo,Guerra Roque,Vila Saulo do Norte,PB
Estêvão Assunção Fonseca,Josefina Martines Domingues,07/12/1987,372.877.687-47,768716952754986,90111-800,R. Jefferson Amaral,8226,Bloco B,Jimenes Saraiva,Juliane do Sul,PR
Carlos Beltrão Pena,Sophie Brito de Freitas,29/10/2005,763.652.308-69,799659171350983,96285-208,Travessa Alves,4529,Apto 729,Solano Furtado,São Thomas do Norte,AL
Olga Uchoa Duarte,Stephany Delgado Queirós,08/01/2022,061.425.307-14,807849330801758,52930-858,Rua Garcia,12,Bloco B,Solano Grego,Porto Flávia do Leste,MT
Naiara Verdugo Vila,Maiara Duarte Santos,09/01/1976,230.355.926-08,921315843756685,09875-085,Avenida Milena,31223,2º Andar,Corona Leal,Ortiz d'Oeste,MA
Mari Matias Rocha,Milene Casanova Zamana,05/04/1975,629.094.472-00,973004945342930,54682-182,Av. Lozano,8,5º Andar,Sandoval Vega,Santa Lucio,RN
Leonardo Sanches Ramos,Marisa Fernandes Caldeira,28/02/1977,617.319.252-71,877739463610092,47168-077,Avenida Barreto,2,Bloco A,Benites Fonseca,Vega do Sul,PR
Vitor Carmona das Dores,Aurora Soares Rico,13/11/2000,358.893.158-97,875409748196282,00618-158,Travessa Natal,9,Bloco B,Queirós Rivera,Simon do Norte,PA
Eloá Leon Ramires,Luciana Vasques Ferminiano,22/03/2015,561.788.860-98,807711983306284,41669-415,Av. Mirella,956,Anexo,Santos Medina,Alves do Norte,SC
Andréia Pontes Correia,Caroline Barreto Padilha,03/03/1994,247.108.732-91,966537379527458,78647-954,Largo Dominato,4,Fundos,Chaves da Silva,São Márcia do Sul,AL
Jonas Serra Dominato,Emília Aguiar Carrara,04/10/1985,373.229.007-74,766416080307778,00820-019,R. Micaela,9,F,Godói Batista,Salas d'Oeste,PR
Aaron Salgado Matias,Paola Amaral Lira,14/03/1987,137.268.825-02,728257709513290,59712-750,Avenida Cauan Sandoval,125,Apto 2,Sanches Pedrosa,São Gean,AP
Luciano Lutero Matias,Ayla Ferreira Verdugo,21/10/1983,369.285.633-46,922959485876971,13342-601,Rua Rios,7061,Fundos,Perez Franco,Ayla do Norte,RO
Ariana Arruda Queirós,Viviane Sales Meireles,28/10/2021,809.492.077-72,763410982039556,33826-339,Largo Lourenço,4377,Anexo,Furtado Burgos,Porto Vinícius,RS
Pablo Beltrão das Dores,Sarah da Silva Fontes,17/06/1977,440.818.851-41,897020879740624,13530-621,Avenida da Cruz,3,Apto 4528,Barros Dias,Heitor do Leste,SC
Simão Azevedo Gil,Késia Furtado D'ávila,04/01/1990,665.240.590-34,997884654990049,39652-304,R. Solano,5476,Apto 992,Roque Pereira,Santiago d'Oeste,RS
Renato Delgado Lovato,Taís Aguiar Arruda,27/09/1982,266.992.659-20,844380142967882,21298-968,R. Kauan Gonçalves,8202,9º Andar,Espinoza Barros,Adriano do Leste,MT
Simon Salgado Cervantes,Hosana Paes Faro,07/04/1984,615.710.649-23,864026012627219,78392-037,Travessa Romero,718,Bloco B,Casanova Matos,Porto Rafaela do Sul,RN
Juliane Dias Uchoa,Liz Soto Flores,02/10/1985,839.565.938-55,836010143584148,11454-641,Avenida Vega,373,Bc. 46 Ap. 86,Montenegro Paes,Paz do Norte,DF
Cristiano Medina Uchoa,Samanta Fernandes Alves,15/11/2010,449.475.128-65,819556160384314,30558-860,Avenida Aurora,8236,Bc. 1 Ap. 96,Colaço das Neves,Porto Rafaela do Sul,ES
Nicolas Prado Batista,Daniela Pereira Dias,05/10/1970,418.936.602-14,980640677712960,16602-379,Largo Melina Vila,694,Apto 3231,Marinho Ortega,São Paulina do Sul,AM
Agustina Sepúlveda Solano,Marisa Meireles Pontes,05/04/2012,582.032.411-07,907199837047899,23646-893,Travessa Luiza,3912,71º Andar,Flores Rosa,Vila Mateus do Leste,SC
Flávio Padilha Corona,Taís Benez Gonçalves,22/05/1997,521.528.810-01,992401777955772,72861-062,Avenida Luiz,78,Apto 88,Queirós Aragão,São Bruno,MT
Cauan Galindo Valente,Emilly Mendes Delvalle,20/07/2000,725.956.175-08,802641426172925,19543-912,R. Medina,35014,Bc. 1 Ap. 95,Santos Lourenço,Porto Dener do Leste,MT
Vanessa Reis Velasques,Eloá Queirós Marin,27/01/1970,946.069.982-02,855277398903959,00396-490,Largo Oliveira,58436,Bc. 85 Ap. 73,Carrara Bonilha,Vila Vicente d'Oeste,RS
Alessandro Maia Rezende,Daniela Amaral de Oliveira,29/03/1996,445.656.038-02,977520623886554,87928-015,Travessa Catarina,663,900º Andar,Gonçalves Ramires,Porto Gabriela do Sul,PB
Marcelo Cordeiro Burgos,Thalita Espinoza Santacruz,21/01/1971,824.889.739-71,824281237990552,33608-702,Rua Kelly,8718,Apto 4,Gusmão Torres,São Luara,PB
Leonardo Maldonado Lovato,Renata Bezerra Carvalho,28/08/1976,167.824.673-56,725647470757117,40145-554,Avenida Emanuel,540,2º Andar,Pontes Pontes,Vila Aline do Leste,PB
Isabel Rezende Galhardo,Jaqueline Medina de Oliveira,21/08/2018,550.130.307-81,927617073561444,69320-350,Av. Gabriela Rico,58,Fundos,Quintana Rico,Mauro d'Oeste,AP
Norma Paz Dias,Abgail Aguiar Matias,21/09/1972,063.543.434-20,986965258303221,80046-482,Rua Lilian Santacruz,33324,Bloco A,Santiago Zaragoça,São Patrícia,RJ
Danilo Furtado Chaves,Lidiane Rocha Molina,21/02/2011,258.085.109-70,855651586001771,83933-147,Travessa Cezar,58,Apto 4275,de Freitas Corona,São Eva,DF
Fabiana da Silva de Aguiar,Elaine Branco Alves,14/11/2017,703.227.237-10,734675474663629,20448-430,Av. Elizabeth,836,Apto 632,Alcantara Batista,Porto Diana,BA
Mariana Batista Duarte,Kelly Padilha Leon,25/11/2001,282.754.390-78,817674678092978,25582-759,Travessa Ohana da Cruz,130,Bloco B,Benez Domingues,Quintana do Sul,RN
Walter Dias Lourenço,Josefina Franco Burgos,13/07/2004,822.945.217-22,826445540344341,48855-101,Av. Wellington Galindo,7425,Apto 877,Prado Delatorre,Porto Esther,SP
Késia Tamoio Carmona,Maya Serna Galindo,05/04/1990,000.469.294-28,796754566752677,00548-810,Av. Mari Maia,92571,1º Andar,Quintana Casanova,Porto Larissa,MT
Elaine Bittencourt Toledo,Bárbara Vale Romero,01/02/2013,868.689.376-79,704797592838398,71233-608,Avenida Emílio Medina,26,Bloco C,Galhardo Oliveira,Santa Dayana,AC
Andréa de Oliveira Godói,Ayla Alves Rocha,19/01/1973,479.403.290-06,720426254429832,56198-245,Avenida Sales,9755,Bloco A,Vila Gil,Agostinho d'Oeste,MT
Verônica Campos Delvalle,Luísa Ferminiano Dias,25/07/1970,155.856.671-65,907981263149681,54383-683,Av. Rodrigues,50,Apto 4,Campos Dias,Santa Saulo,GO
Maria Sepúlveda Faria,Mel Martines Zambrano,11/03/2000,372.196.530-26,741727345455772,81800-293,Travessa Miguel,86,Apto 69,Galhardo Cruz,Bárbara do Sul,DF
Sofia Delvalle Camacho,Ingrid Perez Teles,19/01/2013,589.467.620-71,877788202212394,40792-683,Rua Christopher,66560,Bc. 1 Ap. 61,Colaço Soares,Santa Bianca,TO
Suellen Domingues Guerra,Paola Vasques Cortês,29/09/1985,512.624.200-83,817659993100897,22464-261,R. de Souza,359,F,Matos Fernandes,Porto Catarina do Leste,RJ
Cláudia Lovato de Souza,Luana Roque Espinoza,15/05/2001,808.883.038-90,764326688049579,85574-184,Rua Reis,11686,Apto 4881,Caldeira das Dores,Rios do Sul,RO
Gabriel Mascarenhas Fonseca,Ohana Marés Salas,21/12/2010,706.410.830-50,839012154670381,26814-742,R. Fidalgo,93,Bloco C,Lourenço Santos,Porto Júlio,BA
Fabrício Santacruz Cortês,Melissa Balestero Zaragoça,05/06/1978,465.206.934-05,855330661690410,93207-826,Av. Andres Soto,405,1º Andar,Gil Dias,Porto Rogério do Norte,SP
